Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Insight Partners,https://www.crunchbase.com/organization/insight-partners,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Insight Partners is the most trusted scale-up firm in the software industry. Their team of industry-leading experts partner with companies to drive extraordinary success that is fueled by know-how, grit, and hands-on collaboration. Founded in 1995, Insight currently has over $20 billion of assets under management and has cumulatively invested in more than 300 companies worldwide. Across their people and their portfolio, they encourage a culture around a core belief: growth equals opportunity.","1,577",http://twitter.com/insightpartners,https://www.linkedin.com/company/insight-venture-partners,https://www.facebook.com/Insight-Venture-Partners-149606742154,,Active,Insight Partners is the most trusted scale-up firm in the software industry.,1995-01-01,year,,,,,,http://www.insightpartners.com,press@insightpartners.com,212-230-9200,,"Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",261,364,,235,91,91,,,,379,-1.7,-1.5,-1.4,"50,255","42,752.67",29.32%,153,-11.64%,3.47,0.33%,48.31%,7.71%,"668,163","-103,381",-13.4%,56,,,34,,,,,2257333,USD,2257333
Tiger Global Management,https://www.crunchbase.com/organization/tiger-global,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Tiger Global Management, LLC is an investment firm that deploys capital globally.   Tiger Global seeks to earn superior risk-adjusted returns for its investors over the long term.  The firm’s fundamentally oriented investments focus primarily on the global Internet, technology, telecom, media consumer and industrial sectors. The private equity strategy has a ten-year investment horizon and targets growth-oriented private companies.  The  public equity efforts emphasize deep due diligence on individual companies and long-term secular themes.   As a Firm, Tiger Global values integrity, intellectual honesty, continuous improvement, process over outcome, teamwork, the drive to be world class, and long-term thinking.  Tiger Global Management, LLC was founded in 2001 and is based in New York with affiliate offices in Hong Kong, Singapore, Bangalore and Melbourne.",822,,http://www.linkedin.com/company/tiger-global-management,,,Active,Tiger Global Management is an investment firm that deploys capital globally in both public and private markets.,2001-04-13,day,,,,,,http://tigerglobal.com,,,,Hedge Fund,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market",207,355,,197,57,57,,,,558,0.7,8.6,-0.5,"14,492","12,407.27",4.81%,135,54.42%,3.93,31.69%,36.23%,1.68%,"1,563,227","-263,073",-14.4%,8,,,,,,,,,,
OrbiMed,https://www.crunchbase.com/organization/orbimed-advisors,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"OrbiMed is ahealthcare-dedicated investment firm, with approximately $5 billion in assets under management. OrbiMed's investment advisory business was founded in 1989 with a vision to invest across the spectrum of healthcare companies: from private start-ups to large multinational companies. OrbiMed manages the Caduceus Private Investments series of venture capital funds and a family of public equity investment funds.",184,https://twitter.com/OrbiMed,https://www.linkedin.com/company/orbimed-advisors,https://www.facebook.com/OrbiMed-Advisors-522321737819113/timeline/,,Active,"OrbiMed is a healthcare-dedicated investment firm, with approximately $5 billion in assets under management.",1989-01-01,year,,,,,,http://www.orbimed.com,info@orbimed.com,,,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity",206,337,,137,120,120,,,,670,4.4,5.8,9.4,"5,710","7,433.55",-31.08%,107,-40.95%,2.76,-27.37%,38.71%,5.71%,"3,433,863","1,141,803",49.82%,17,,,,,,,,,,
Warburg Pincus,https://www.crunchbase.com/organization/warburg-pincus,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Warburg Pincus LLC is a leading global private equity firm focused on growth investing. The firm has more than $45 billion in private equity assets under management. The firm’s active portfolio of more than 165 companies is highly diversified by stage, sector, and geography. Warburg Pincus is an experienced partner to management teams seeking to build durable companies with sustainable value. Founded in 1966, Warburg Pincus has raised 17 private equity funds which have invested more than $68 billion in over 825 companies in more than 40 countries.     The firm is headquartered in New York with offices in Amsterdam, Beijing, Hong Kong, Houston, London, Luxembourg, Mumbai, Mauritius, San Francisco, São Paulo, Shanghai, and Singapore. For more information, please visit www.warburgpincus.com. ","1,725",,https://www.linkedin.com/company/warburg-pincus/about/,,,Active,Warburg Pincus LLC is a private equity firm focused on growth investing.,1966-01-01,year,,,,,,http://www.warburgpincus.com,investor.services@warburgpincus.com,+1 212 878 0600,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",216,299,,185,77,77,,,,79,-0.3,9.5,7.3,"46,829","57,680.96",16.65%,101,-23.67%,2.53,-35.01%,34.65%,0.98%,"849,762","96,039",12.74%,58,,,11,,,,,58922794,USD,58922794
General Atlantic,https://www.crunchbase.com/organization/general-atlantic,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"General Atlantic is a global growth equity firm providing capital and strategic support for growth companies. Established in 1980, General Atlantic combines a collaborative global approach, sector specific expertise, a long-term investment horizon and a deep understanding of growth drivers to partner with great entrepreneurs and management teams to build exceptional businesses worldwide. General Atlantic has more than 100 investment professionals based in New York, Amsterdam, Beijing, Greenwich, Hong Kong, London, Mexico City, Mumbai, Munich, Palo Alto, São Paulo and Singapore.","1,190",http://twitter.com/generalatlantic,http://www.linkedin.com/company/general-atlantic,,,Active,General Atlantic is a global growth equity firm providing capital and strategic support for growth companies.,1980-01-01,year,,,,,,http://www.generalatlantic.com,,31206090301,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",187,216,,114,78,78,,,,665,-0.5,9.1,0.6,"29,312","33,741.92",-12.74%,158,-16.12%,8.24,26.5%,41.9%,6.61%,"705,362","32,789",4.88%,32,,,18,,,,,4746083,USD,4746083
Kohlberg Kravis Roberts,https://www.crunchbase.com/organization/kkr,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Kohlberg Kravis Roberts is a global investment firm that manages multiple alternative asset classes, including private equity, energy, infrastructure, real estate, credit, and, through its strategic partners, hedge funds. The company generates attractive investment returns for its fund investors through a patient and disciplined investment approach, employing world-class people, and driving growth and value creation with KKR portfolio companies. The company invests its own capital alongside the capital it manages for fund investors and delivers financing solutions and investment opportunities through its capital markets business. The firm has completed more than two-hundred-eighty private equity investments in portfolio companies with approximately $545 billion of total enterprise value as of June 30, 2017. Assets Under Management (“AUM”) and Fee Paying Assets Under Management (“FPAUM”) were $153 billion and $114 billion, respectively as of September 30, 2017. Jerome Kohlberg, Jr. and cousins Henry Kravis and George R. Roberts, all of whom had previously worked together at Bear Stearns, where the three completed some of the leveraged buyout transactions founded the company. Kohlberg Kravis Roberts has completed a number of transactions including the 1989 leveraged buyout of RJR Nabisco, which was a large buyout in history to that point, as well as the 2007 buyout of TXU, which is currently also a large buyout completed to date since its founding. Kohlberg Kravis Roberts has offices in 21 cities in 16 countries across 5 continents. The firm is currently headquartered in the Solow Building, New York, but in October 2015, the firm announced its intentions to occupy a newly constructed 30 Hudson Yards. In October 2009, Kohlberg Kravis Roberts listed shares in the company through KKR & Co., an affiliate that holds 30% of the firm's ownership equity, with the remainder held by the firm's partners. Kohlberg Kravis Roberts filed to list its shares on the New York Stock Exchange (NYSE) in March 2010, with trading commencing four months later, on July 15, 2010. It was founded on 1976 and is headquartered in New York.","1,857",http://twitter.com/KKR_Co,https://www.linkedin.com/company/kkr/,,,Active,"Kohlberg Kravis Roberts is a global alternative asset manager focusing on private equity, fixed income, and capital markets.",1976-01-01,year,2010-07-23,day,,,For Profit,http://www.kkr.com/,investor-relations@kkr.com,800.937.5449,,Private Equity Firm,"Late Stage Venture, Private Equity",146,169,,108,52,52,,,,37,-0.3,8.3,7.3,"204,740","176,563.28",27.5%,111,3.48%,2.52,-0.68%,53.39%,4.58%,"264,022","-38,872",-12.83%,53,,,28,,,,,151625565,USD,151625565
Rho Ventures,https://www.crunchbase.com/organization/rho-ventures,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"We invest across most high growth sectors of today’s economy and have developed deep expertise and relationships in Information Technology, Communications, New Media, Healthcare and New Energy. Since 1981, Rho Ventures has been investing in innovators that redefine the status quo. Rho’s investment philosophy does not fit a conventional model, much like the visionary innovators we back. We believe that formulaic approaches to investing lead to risk averse strategies that stifle innovation and differentiation. We actively avoid restrictive boundaries around ideas, growth opportunities and entrepreneur profiles. To find extraordinary opportunities, we are not bound by a particular stage of investment and do not shy away from contrarian ideas. We believe that great companies take root in unconventional places and that successful entrepreneurs frequently break the mold. The ideas we back come from a variety of sources: an MBA student who is trying to change new media advertising practices; an experienced entrepreneur seeking to commercialize a disruptive biofuels technology; or an executive looking to spin out and develop an abandoned asset developed by a pharmaceutical company.  We are seasoned investors who have backed more than 200 companies through multiple cycles. Identifying interesting opportunities and providing capital is just the beginning. We offer deep-sector expertise in today’s high-growth markets, but we do not let any one area of knowledge guide our overall investment strategy. Ultimately, we look for entrepreneurs who we can help make very big waves, not just stir the waters and move on to the next venture.",285,http://twitter.com/rhoventures,http://www.linkedin.com/company/85331,,,Active,Rho Ventures is a private equity firm that invests in high growth companies across multiple sectors.,1981-01-01,year,,,,,,http://www.rhoventures.com,businessplans@rho.com,514.844.5605,,"Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",61,102,,24,31,31,,,,"7,693",0.3,1.4,-0.7,"1,003","1,219.29",-21.3%,64,-70.55%,2.44,-36.13%,75.31%,18.81%,"10,837,306","2,700,720",33.19%,3,,,6,,,,,,,
Rho Capital Partners,https://www.crunchbase.com/organization/rho-capital-ventures,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Rho Capital Partners is the parent company to Rho's four operating divisions, [Rho Ventures](https://www.crunchbase.com/organization/rho-ventures#/entity), [Rho Canada Ventures](https://www.crunchbase.com/organization/rho-canada), [Rho Fund Investors](https://www.crunchbase.com/organization/rho-fund-investors) and [Rho Acceleration](https://www.crunchbase.com/organization/rho-acceleration).",21,http://twitter.com/rhoventures,,,,Active,"Rho Capital Partners, an American private equity firm, offers long-term investments to IT, new media, healthcare, and energy tech companies.",1981-01-01,year,,,,,,http://www.rho.com,,,,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity",69,98,,29,37,37,,,,"4,763",-0.1,4.5,5.1,"1,673",988.19,64.43%,9,263.11%,1.08,-18%,60.78%,-6.99%,"10,915,849","-1,359,669",-11.08%,14,,,,,,,,,,
Blackstone Group,https://www.crunchbase.com/organization/blackstone,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Blackstone® is a premier global investment and advisory firm that strives to provide solutions that create lasting value for their investors, the companies in which they invest and society at large.   The firm was founded in 1985 by Stephen A. Schwarzman, their Chairman and Chief Executive Officer, and Peter G. Peterson, who retired as Senior Chairman in 2008. They began with a modest balance sheet of $400,000 but with a wealth of entrepreneurial ideas about creating a world-class investment and advisory business built on a foundation of uncompromising commitment to excellence. Their vision was to create a firm that put clients’ needs first, that was independent and conflict-free, adhered to the highest ethical standards and sought to create long-term value for all stakeholders. Today, they are a firm of nearly 1,800 employees in 24 offices worldwide. But they are more than that. Their portfolio companies employ over 730,000 people across the globe, making us a major factor in economies around the world.    As a leader in alternative asset management, they are a trusted partner to many of the world’s top institutional investors. Through their various investment vehicles they preserve and protect $230 billion in assets for public and corporate pension funds, academic, cultural and charitable organizations, among others. Their diverse range of funds makes private equity, real estate, credit and hedge fund investments all over the world. They also have a leading independent financial advisor business, handling highly complex and critical M&A, restructuring and reorganization assignments for corporate and government clients on a global scale. They also offer fund placement services to alternative investment managers. All of their businesses reflect Blackstone’s strong partnership culture, solid foundation of intellectual capital, commitment to exceptional performance and uncompromising integrity.    In June of 2007, Blackstone completed its initial public offering and is listed on the New York Stock Exchange under the ticker symbol BX.","1,309",http://twitter.com/blackstone,https://www.linkedin.com/company/blackstonegroup/,http://www.facebook.com/blackstone,,Active,Blackstone is an investment and advisory firm providing solutions that create value for investors and clients.,1985-01-01,year,2007-06-25,day,,,For Profit,http://blackstone.com,BlackstoneInvestorRelations@blackstone.com,+116463136590,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",80,94,,42,25,25,,,,"1,025",-1.4,-1.1,4.5,"294,735","311,143.61",4.79%,187,-10.7%,2.88,-9.47%,52.92%,0.92%,"179,827","4,603",2.63%,48,1,,31,0,1,,Advertising; business,432457296,USD,432457296
Perceptive Advisors,https://www.crunchbase.com/organization/perceptive-advisors,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Perceptive Advisors, LLC is a privately owned hedge fund sponsor. The firm invests in the public equity markets across the globe. It employs a long/short equity strategy as a hedging technique while making its investments. The firm typically invests in biotechnology and life sciences sectors to make its investments. Perceptive Advisors is based in New York, New York.",27,,,,,Active,Perceptive Advisors is a privately owned hedge fund sponsor that finances the public equity markets across the globe.,,,,,,,,http://www.perceptivelife.com/,,,,Hedge Fund,"Early Stage Venture, Late Stage Venture, Private Equity",75,87,,32,43,43,,,,"1,578",-2.2,-2.6,2.8,"3,068","3,797.59",16.75%,190,-21.21%,4.62,26.49%,21.7%,-25.91%,"4,598,241","-727,327",-13.66%,18,,,,,,,,156607,USD,156607
